Date,Rainflood space
12-18,70.31
12-19,70.31
12-20,70.31
12-21,70.31
12-22,70.31
12-23,70.31
12-24,70.31
12-25,70.31
12-26,70.31
12-27,70.31
12-28,70.31
12-29,70.31
12-30,70.31
12-31,70.31
