Date,Rainflood space,Conditional space
12-6,2429.96,2429.96
12-7,2429.96,2429.96
12-8,2429.96,2429.96
12-9,2429.96,2429.96
12-10,2429.96,2429.96
12-11,2429.96,2429.96
12-12,2429.96,2429.96
12-13,2429.96,2429.96
12-14,2429.96,2429.96
12-15,2429.96,2429.96
12-16,2429.96,2429.96
12-17,2429.96,2429.96
12-18,2429.96,2429.96
12-19,2429.96,2429.96
12-20,2429.96,2429.96
12-21,2429.96,2429.96
12-22,2429.96,2429.96
12-23,2429.96,2429.96
12-24,2429.96,2429.96
12-25,2429.96,2429.96
12-26,2429.96,2429.96
12-27,2429.96,2429.96
12-28,2429.96,2429.96
12-29,2429.96,2429.96
12-30,2429.96,2429.96
12-31,2429.96,2429.96
