"Date","USGS 11292000 MF STANISLAUS R AT KENNEDY MDWS NR DARDANELLE CA","USGS 11292500 CLARK FORK STANISLAUS R NR DARDANELLE CA","USGS 11292610 DONNELL PH NR STRAWBERRY CA","USGS 11292700 MF STANISLAUS R A HELLS HALF ACRE BRIDGE CA","USGS 11292820 BEARDSLEY PH NR STRAWBERRY CA","USGS 11292860 JW SOUTHERN PP A SND BAR DIV DAM NR LNG BRN CA","USGS 11292900 MF STANISLAUS R BL BEARDSLEY DAM CA","USGS 11293200 MF STANISLAUS R BL SND BAR DIV DAM NR AVERY CA","USGS 11293372 NF STANISLAUS R BL UTICA RES NR BEAR VALLEY CA","USGS 11293500 NF STANISLAUS R BL SILVER C CA","USGS 11293580 NF STANISLAUS R DIV TUNNEL NR BIG MDW CA","USGS 11293600 NF STANISLAUS R BL DIV D","USGS 11293700 HOBART C AT NF DIV TUNNL OUTLT NR SPICER MDWS CA","USGS 11293710 NF STANISLAUS DIV TU OL BL HOBART C NR NSMD CA","USGS 11293760 NEW SPICER MDW DAM PP A NSMD NR B MDW CA","USGS 11294000 HIGHLAND C BL SPICER MEADOWS RES CA","USGS 11294500 NF STANISLAUS R NR AVERY CA","USGS 11295210 BEAVER C DIV TO MCKAYS POINT RES NR ARNOLD CA","USGS 11295230 BEAVER CR BL DIV DAM NR ARNOLD CA","USGS 11295250 COLLIERVILLE PP NR MURPHYS CA","USGS 11295270 NF STANISLAUS R BL MCKAYS POINT DAM NR AVERY CA","USGS 11295300 NF STANISLAUS R BL BEAVER C NR HATHAWAY PINES CA","USGS 11295340 MILL C BL HUNTER RES A HATHAWAY PINES CA","USGS 11295505 STANISLAUS PP NR HATHAWAY PINES CA","USGS 11296500 SF STANISLAUS R A STRAWBERRY CA","USGS 11297000 PHILADELPHIA CN NR STRAWBERRY CA","USGS 11297200 SF STANISLAUS R NR STRAWBERRY CA","USGS 11297500 TUOLUMNE CN NR LONG BARN CA","USGS 11298000 SF STANISLAUS R NR LONG BARN CA","USGS 11298650 ANGELS C BL MURPHYS AFTERBAY NR MURPHYS CA","USGS 11298700 ANGELS C BL UTICA D DIV DAM NR MURPHYS CA","USGS 11300500 S SAN JOAQUIN CN NR KNIGHTS FERRY CA","USGS 11301000 OAKDALE CN NR KNIGHTS FERRY CA","USGS 11302000 STANISLAUS R BL GOODWIN DAM NR KNIGHTS FERRY CA","USGS 11292615 MF STANISLAUS R LOW FLOW REL BL DONNELL LAKE","USGS 11299200 NEW MELONES PP BL NEW MELONES DAM NR SONORA CA","USGS 11299996 TULLOCH PH NR KNIGHTS FERRY CA"
2010-04-26,147,NA,NA,608,505,366,138,NA,6.9,NA,333,28,NA,NA,120,120,1160,194,18,1100,19,37,0.59,522,124,50,NA,36,43,20,NA,127,32,999,42,NA,NA
2010-04-27,161,NA,NA,707,508,369,140,NA,6.9,NA,341,28,NA,NA,22,22,1120,207,26,1150,20,46,0.61,466,126,50,NA,36,45,20,NA,127,47,999,42,NA,NA
2010-04-28,141,NA,NA,792,489,356,141,NA,6.9,NA,224,26,NA,NA,121,121,1070,210,23,1090,19,42,0.62,487,95,50,NA,36,42,20,NA,241,93,997,42,NA,NA
2010-04-29,121,NA,NA,586,505,368,141,NA,6.8,NA,127,24,NA,NA,382,382,1040,157,19,932,19,38,0.62,490,75,50,NA,36,38,20,NA,334,127,1000,43,NA,NA
2010-04-30,109,NA,NA,525,491,355,142,NA,6.8,NA,92,23,NA,NA,435,435,1060,135,19,1080,19,38,0.61,529,68,50,42,36,38,20,NA,392,172,994,42,NA,NA
2010-05-01,111,NA,NA,519,487,352,140,NA,6.8,NA,133,25,NA,NA,389,389,1070,134,19,907,19,38,0.6,494,69,50,42,36,38,20,NA,445,222,1000,39,NA,NA
2010-05-02,122,NA,NA,554,500,364,139,NA,6.8,NA,241,27,NA,NA,120,120,921,148,19,1070,19,38,0.61,502,81,51,NA,35,41,20,NA,552,248,995,39,NA,NA
2010-05-03,137,NA,NA,595,508,371,138,NA,6.9,NA,327,28,NA,NA,305,305,1160,166,19,1020,20,39,1.9,488,101,50,NA,35,51,29,NA,595,251,1000,39,NA,NA
2010-05-04,168,NA,NA,687,487,352,138,NA,6.9,NA,440,29,NA,NA,108,108,1310,197,19,997,22,42,1.8,541,140,50,NA,36,85,39,NA,572,261,1010,40,NA,NA
2010-05-05,189,NA,NA,728,500,364,140,NA,6.8,NA,432,29,NA,NA,21,21,1160,207,19,1140,21,40,1.7,544,158,50,NA,36,127,39,NA,657,256,1000,41,NA,NA
2010-05-06,184,NA,NA,661,508,371,141,NA,6.8,NA,367,28,NA,NA,22,22,1050,194,19,1130,19,38,1.6,516,154,50,NA,36,126,39,NA,714,251,1010,42,NA,NA
2010-05-07,183,NA,NA,501,545,400,138,NA,6.8,NA,365,28,NA,NA,153,153,1090,190,19,1170,19,38,1.6,480,157,50,NA,36,110,39,NA,740,237,1020,42,NA,NA
2010-05-08,190,NA,NA,522,559,414,139,NA,6.8,NA,388,29,NA,NA,289,289,1400,191,19,1120,19,38,1.6,533,170,50,NA,36,125,39,5.8,763,184,1020,42,NA,NA
2010-05-09,181,NA,NA,538,564,419,138,NA,6.8,NA,309,28,NA,NA,58,58,1110,178,19,1150,19,38,1.6,500,154,50,NA,36,128,39,5.8,712,173,1020,40,NA,NA
2010-05-10,154,NA,NA,629,570,424,140,NA,6.8,NA,191,26,NA,NA,238,238,875,147,19,1030,19,38,1.6,496,106,50,NA,36,76,39,NA,630,184,1010,40,NA,NA
2010-05-11,139,NA,NA,607,578,430,139,NA,6.8,NA,144,25,NA,NA,298,298,943,131,19,939,19,38,1.6,547,88,50,NA,35,49,39,NA,659,212,1020,40,NA,NA
2010-05-12,131,NA,NA,544,585,435,138,NA,6.8,NA,153,23,NA,NA,298,298,936,126,19,819,19,38,1.6,496,82,55,45,35,32,39,NA,720,247,1020,41,NA,NA
2010-05-13,137,NA,NA,541,591,443,140,NA,6.8,NA,238,23,NA,NA,298,298,1080,136,19,1040,19,38,1.6,497,94,59,NA,35,26,39,6,758,228,1040,41,NA,NA
2010-05-14,152,NA,NA,600,599,485,142,NA,6.8,NA,317,24,NA,NA,381,381,1260,145,19,1120,20,39,1.7,532,109,59,NA,36,31,39,5.8,801,244,1030,41,NA,NA
2010-05-15,180,NA,NA,904,602,525,141,NA,6.8,NA,422,25,NA,NA,79,79,1260,175,19,1020,20,39,1.7,520,151,59,NA,37,50,39,5.8,816,266,1020,41,NA,NA
2010-05-16,211,NA,NA,1380,607,526,141,NA,6.9,NA,489,27,NA,NA,22,22,1260,195,19,1210,19,39,1.7,523,195,59,NA,37,109,39,5.8,815,285,882,40,NA,NA
2010-05-17,223,NA,NA,1690,612,528,141,NA,6.9,NA,470,27,NA,NA,22,22,1360,216,19,1210,20,39,1.7,519,202,59,NA,38,157,39,NA,820,309,790,40,NA,NA
2010-05-18,195,NA,NA,1520,618,533,139,NA,6.9,NA,351,25,NA,NA,22,22,1270,211,19,1180,20,39,1.7,520,156,58,NA,38,115,39,5.9,827,322,819,40,NA,NA
2010-05-19,195,NA,NA,1400,628,473,140,NA,6.9,NA,354,26,NA,NA,22,22,1120,187,19,1140,19,39,1.7,490,170,59,NA,37,84,39,5.8,825,326,826,40,NA,NA
2010-05-20,230,NA,NA,1700,639,471,140,NA,6.9,NA,579,26,NA,NA,22,22,1390,204,19,912,20,39,1.7,504,250,59,NA,38,142,39,5.7,829,314,813,40,NA,NA
2010-05-21,224,NA,NA,1870,649,567,141,NA,6.8,NA,436,24,NA,NA,22,22,1180,184,19,1110,52,71,1.7,552,221,58,NA,39,204,39,NA,820,281,807,40,NA,NA
2010-05-22,183,NA,NA,1350,659,572,141,NA,6.8,NA,232,22,NA,NA,23,23,792,146,19,1010,19,38,1.7,499,151,57,NA,38,106,39,NA,803,261,815,40,NA,NA
2010-05-23,159,NA,NA,1020,669,582,141,NA,6.8,NA,174,21,NA,NA,23,23,626,123,19,713,19,38,1.7,528,135,57,NA,37,57,39,5.6,786,263,695,40,NA,NA
2010-05-24,143,NA,NA,819,676,586,139,NA,6.8,NA,146,21,NA,NA,23,23,554,108,19,613,19,39,1.7,515,178,59,NA,38,78,39,5.5,767,281,398,42,NA,NA
2010-05-25,136,NA,NA,651,684,586,139,NA,6.8,NA,150,21,NA,NA,23,23,521,102,19,488,19,39,1.7,523,173,59,NA,38,97,39,5.5,786,297,209,42,NA,NA
