Date,Very Critically Dry,Critically Dry,Dry,Below Normal,Above Normal,Wet
06-10,0,150,200,450,1000,1200
06-11,0,150,200,300,1000,1200
06-12,0,150,200,300,1000,1200
06-13,0,150,200,300,1000,1200
06-14,0,150,200,300,1000,1200
06-15,0,150,200,250,1000,1200
06-16,0,150,200,250,1000,1200
06-17,0,150,200,250,1000,1200
06-18,0,150,200,250,1000,1200
06-19,0,150,200,250,1000,1000
06-20,0,150,200,250,1000,1000
06-21,0,150,200,250,1000,1000
06-22,0,150,200,250,1000,1000
06-23,0,150,200,250,1000,1000
06-24,0,150,200,250,750,1000
06-25,0,150,200,250,750,1000
06-26,0,150,200,250,500,1000
06-27,0,150,200,250,500,1000
06-28,0,150,200,250,500,800
06-29,0,150,200,250,300,800
06-30,0,150,200,250,300,800
07-01,0,150,200,250,300,800
07-02,0,150,200,250,300,500
07-03,0,150,200,250,300,500
07-04,0,150,200,250,300,500
07-05,0,150,200,250,300,500
07-06,0,150,200,250,300,500
07-07,0,150,200,250,300,400
07-08,0,150,200,250,300,400
07-09,0,150,200,250,300,400
07-10,0,150,200,250,300,400
07-11,0,150,200,250,300,400
07-12,0,150,200,250,300,400
07-13,0,150,200,250,300,400
07-14,0,150,200,250,300,400
07-15,0,150,200,250,300,400
07-16,0,150,200,250,300,400
07-17,0,150,200,250,300,400
07-18,0,150,200,250,300,400
07-19,0,150,200,250,300,400
07-20,0,150,200,250,300,400
07-21,0,150,200,250,300,400
07-22,0,150,200,250,300,400
07-23,0,150,200,250,300,400
07-24,0,150,200,250,300,400
07-25,0,150,200,250,300,400
07-26,0,150,200,250,300,400
07-27,0,150,200,250,300,400
07-28,0,150,200,250,300,400
07-29,0,150,200,250,300,400
07-30,0,150,200,250,300,400
07-31,0,150,200,250,300,400
08-01,0,150,200,250,300,400
08-02,0,150,200,250,300,400
08-03,0,150,200,250,300,400
08-04,0,150,200,250,300,400
08-05,0,150,200,250,300,400
08-06,0,150,200,250,300,400
08-07,0,150,200,250,300,400
08-08,0,150,200,250,300,400
08-09,0,150,200,250,300,400
08-10,0,150,200,250,300,400
08-11,0,150,200,250,300,400
08-12,0,150,200,250,300,400
08-13,0,150,200,250,300,400
08-14,0,150,200,250,300,400
08-15,0,150,200,250,300,400
08-16,0,150,200,250,300,400
08-17,0,150,200,250,300,400
08-18,0,150,200,250,300,400
08-19,0,150,200,250,300,400
08-20,0,150,200,250,300,400
08-21,0,150,200,250,300,400
08-22,0,150,200,250,300,400
08-23,0,150,200,250,300,400
08-24,0,150,200,250,300,400
08-25,0,150,200,250,300,400
08-26,0,150,200,250,300,400
08-27,0,150,200,250,300,400
08-28,0,150,200,250,300,400
08-29,0,150,200,250,300,400
08-30,0,150,200,250,300,400
08-31,0,150,200,250,300,400
09-01,0,150,200,250,300,400
09-02,0,150,200,250,300,400
09-03,0,150,200,250,300,400
09-04,0,150,200,250,300,400
09-05,0,150,200,250,300,400
09-06,0,150,200,250,300,400
09-07,0,150,200,250,300,400
09-08,0,150,200,250,300,400
09-09,0,150,200,250,300,400
09-10,0,150,200,250,300,400
09-11,0,150,200,250,300,400
09-12,0,150,200,250,300,400
09-13,0,150,200,250,300,400
09-14,0,150,200,250,300,400
09-15,0,150,200,250,300,400
09-16,0,150,200,250,300,400
09-17,0,150,200,250,300,400
09-18,0,150,200,250,300,400
09-19,0,150,200,250,300,400
09-20,0,150,200,250,300,400
09-21,0,150,200,250,300,400
09-22,0,150,200,250,300,400
09-23,0,150,200,250,300,400
09-24,0,150,200,250,300,400
09-25,0,150,200,250,300,400
09-26,0,150,200,250,300,400
09-27,0,150,200,250,300,400
09-28,0,150,200,250,300,400
09-29,0,150,200,250,300,400
09-30,0,150,200,250,300,400
